Filename	V_score2_smooth	V_distance	V_torsion	V_total
T0949_mode0_pcut0.05_noorient_Refined.pdb	0.20472172197107394	-0.707196457585603	7.631633617881694	7.129158882267165
T0949_mode0_pcut0.05_orient_Refined.pdb	0.20460164482633236	-0.657736686271911	6.028766346550088	5.57563130510451
T0949_mode0_pcut0.15_noorient_Refined.pdb	0.15819776982980335	-0.43032785296276804	7.584894572579472	7.312764489446508
T0949_mode0_pcut0.15_orient_Refined.pdb	0.057721103740371926	-0.6385496939364183	5.7624596172300455	5.181631027033999
T0949_mode1_pcut0.05_noorient_Refined.pdb	0.12584059568901979	-0.7485167606476943	7.000608574802475	6.3779324098438
T0949_mode1_pcut0.05_orient_Refined.pdb	0.1985844009876429	-0.7423094346669519	5.666588568724733	5.122863535045424
T0949_mode1_pcut0.15_noorient_Refined.pdb	0.11724302478013905	-0.7301924004413499	6.917024929662028	6.304075554000817
T0949_mode1_pcut0.15_orient_Refined.pdb	0.11738041457547241	-0.696621026855707	6.403617806908197	5.824377194627962
T0949_mode2_pcut0.05_noorient_Refined.pdb	0.1078646131289518	-0.745992900556487	7.056604574834047	6.418476287406512
T0949_mode2_pcut0.05_orient_Refined.pdb	0.06507403324213402	-0.7330219831526258	5.315356121874605	4.647408171964114
T0949_mode2_pcut0.15_noorient_Refined.pdb	0.1744709936828109	-0.7003968130276194	7.721555675327886	7.195629855983077
T0949_mode2_pcut0.15_orient_Refined.pdb	0.1271363720133546	-0.7097536341477432	5.577556501446568	4.994939239312179
trRosetta.pdb	0.08545554407545135	-0.3760923664859164	3.7916235743331064	3.500986751922641
